userID,itemID,rating
0,2352,1
0,319,1
0,2688,1
0,128,1
1,1201,1
1,1664,1
1,1427,1
1,1345,1
1,985,1
1,1324,1
1,1294,1
1,109,1
1,2741,1
2,2633,1
3,333,1
3,565,1
3,558,1
3,557,1
3,553,1
3,536,1
3,2418,1
3,485,1
3,479,1
3,2589,1
3,2871,1
3,2782,1
3,1623,1
3,2825,1
3,2428,1
3,252,1
3,237,1
3,794,1
3,2786,1
3,2699,1
3,2508,1
3,1611,1
3,320,1
3,592,1
3,716,1
3,2212,1
3,461,1
3,2931,1
3,142,1
3,2905,1
3,2211,1
3,150,1
3,2342,1
3,595,1
3,2209,1
3,535,1
3,481,1
3,730,1
3,2208,1
3,596,1
3,2344,1
3,1604,1
3,2403,1
3,2343,1
3,477,1
3,2401,1
4,1779,1
5,2813,1
5,2380,1
5,2216,1
6,2816,1
6,0,1
6,2768,1
6,2385,1
7,292,1
7,0,1
7,2008,1
7,2897,1
7,2513,1
8,66,1
8,45,1
9,7,1
9,0,1
9,106,1
9,2653,1
9,299,1
10,527,1
10,118,1
10,282,1
10,424,1
11,1782,1
11,222,1
11,504,1
12,326,1
12,328,1
12,41,1
12,2367,1
12,468,1
13,521,1
13,249,1
13,883,1
13,1936,1
13,614,1
14,7,1
14,194,1
15,1,1
16,454,1
16,2263,1
16,2053,1
16,136,1
16,2530,1
16,2229,1
16,2314,1
16,2442,1
16,2741,1
16,2472,1
17,326,1
17,446,1
18,1984,1
18,451,1
18,2365,1
18,344,1
18,65,1
18,350,1
18,439,1
18,1266,1
18,141,1
18,652,1
18,365,1
18,372,1
19,229,1
19,834,1
19,59,1
19,1653,1
19,208,1
19,401,1
19,599,1
19,2145,1
19,2004,1
19,145,1
19,2200,1
19,2279,1
19,2466,1
19,2599,1
19,2441,1
19,293,1
20,1175,1
21,2643,1
22,601,1
22,597,1
22,1882,1
22,216,1
24,2810,1
24,292,1
24,2101,1
24,8,1
25,923,1
25,250,1
25,544,1
25,19,1
25,270,1
25,2241,1
25,2905,1
25,98,1
25,2883,1
25,647,1
25,2851,1
26,340,1
26,2927,1
26,2403,1
26,629,1
26,477,1
26,338,1
26,1859,1
26,544,1
26,292,1
26,2660,1
26,2893,1
26,521,1
26,367,1
26,2732,1
26,673,1
26,2237,1
27,1325,1
28,8,1
28,2,1
29,952,1
29,2588,1
29,655,1
29,1564,1
29,594,1
29,2183,1
29,667,1
29,526,1
29,690,1
29,691,1
29,2,1
30,2204,1
30,363,1
31,8,1
31,419,1
31,393,1
31,2112,1
32,444,1
32,2369,1
32,2119,1
32,2064,1
32,555,1
32,1949,1
32,1011,1
32,2179,1
32,1876,1
33,1813,1
34,706,1
34,590,1
34,649,1
34,1090,1
35,152,1
35,2134,1
35,2315,1
35,2043,1
35,2582,1
35,2047,1
35,2360,1
35,442,1
35,2480,1
35,2222,1
35,2518,1
36,511,1
36,273,1
37,3,1
37,2741,1
37,1965,1
37,1883,1
37,1977,1
38,276,1
38,453,1
39,3,1
39,2758,1
39,2446,1
39,976,1
39,231,1
40,1879,1
40,597,1
41,2442,1
41,2480,1
41,2201,1
41,136,1
41,344,1
42,444,1
42,1937,1
42,250,1
42,1981,1
42,2469,1
42,2806,1
42,214,1
42,2343,1
42,2968,1
42,229,1
42,2979,1
42,525,1
42,2010,1
42,2637,1
42,2630,1
42,477,1
42,2113,1
42,551,1
42,546,1
42,288,1
42,442,1
42,234,1
42,2232,1
42,353,1
42,2211,1
42,358,1
42,1579,1
42,2557,1
42,2438,1
42,467,1
42,141,1
43,158,1
43,363,1
43,43,1
43,165,1
43,338,1
43,355,1
43,28,1
43,385,1
43,477,1
43,26,1
43,2672,1
43,453,1
43,455,1
44,1970,1
44,2463,1
44,660,1
44,2987,1
44,233,1
44,2169,1
44,2102,1
44,2711,1
44,443,1
44,2346,1
44,3008,1
44,2351,1
44,2505,1
44,2815,1
44,2465,1
44,539,1
44,486,1
44,2173,1
44,231,1
44,109,1
44,2216,1
44,566,1
44,635,1
44,2858,1
44,1949,1
44,2766,1
44,2786,1
44,2203,1
44,597,1
44,647,1
44,3030,1
44,592,1
44,198,1
44,3,1
45,2905,1
45,253,1
45,397,1
45,650,1
45,232,1
45,696,1
45,210,1
45,2398,1
45,351,1
45,255,1
45,2929,1
45,2565,1
45,268,1
45,519,1
