userID,itemID,prediction
0,398,10.017356
0,337,9.200612
0,65,8.901118
0,385,8.492494
0,364,8.455871
0,1983,8.339589
0,387,8.171758
0,2336,7.984108
0,308,7.745973
0,2339,7.506877
4,1898,9.208238
4,1821,9.188952
4,1863,8.126046
4,1765,8.018973
4,1779,7.986832
4,1780,7.861366
4,2021,7.8350673
4,1775,7.7935276
4,1980,7.700946
4,1785,7.567806
14,8,7.1769924
14,147,6.692083
14,181,6.169846
14,79,5.9191585
14,194,5.8455243
14,507,5.831661
14,158,5.765793
14,47,5.5841417
14,109,5.5811615
14,1515,5.568021
23,2737,7.32963
23,294,7.3063846
23,2542,7.082817
23,266,6.9920473
23,196,6.8759933
23,2333,6.69949
23,2469,6.4043765
23,2442,6.329171
23,2541,6.2365146
23,211,6.2172785
24,2051,8.431418
24,2045,8.415954
24,2385,8.292291
24,3057,7.619612
24,2737,7.597481
24,1887,7.551255
24,2043,7.4095683
24,2815,7.283755
24,2229,7.04561
24,2895,6.919472
30,2972,8.958754
30,308,8.838084
30,526,8.36084
30,363,8.052843
30,1983,8.006462
30,208,7.618257
30,306,7.572272
30,481,7.532224
30,250,7.5032554
30,367,7.45809
31,467,9.728935
31,1949,9.508446
31,320,9.256423
31,419,8.934332
31,528,8.710295
31,2894,8.670038
31,388,8.546304
31,485,8.329597
31,2785,8.219172
31,345,8.129008
32,2866,9.650857
32,2797,9.093285
32,243,8.607795
32,338,8.428945
32,2047,8.220715
32,394,7.947889
32,72,7.72101
32,308,7.700816
32,385,7.667493
32,2839,7.6399155
33,2167,8.150714
33,2006,7.723581
33,2814,7.5580497
33,2117,7.391196
33,2114,6.6643453
33,2152,6.5544195
33,2952,6.504979
33,587,6.441301
33,2170,6.344654
33,387,6.134559
46,2476,8.237591
46,2336,7.9050074
46,1493,6.857102
46,1913,6.8273587
46,565,6.6788187
46,1431,6.6527905
46,1256,6.640745
46,2540,6.518038
46,1272,6.4809313
46,107,6.3398786
50,388,8.30593
50,449,8.286331
50,364,8.2800665
50,320,8.264771
50,2336,8.257509
50,385,8.187054
50,2759,7.955888
50,817,7.905072
50,2714,7.86406
50,250,7.727335
58,143,7.353095
58,1834,6.91587
58,1954,6.851248
58,1780,6.7190714
58,1776,6.566167
58,1825,6.490472
58,1895,6.470404
58,1898,6.4571843
58,1815,6.4344816
58,1863,6.3140097
65,646,9.904876
65,214,9.384954
65,567,9.275518
65,2283,8.904874
65,647,8.789767
65,535,8.774739
65,2135,8.7226305
65,539,8.661916
65,2513,8.573341
65,165,8.497338
66,1966,11.114024
66,1804,8.156766
66,2094,8.128372
66,1780,8.114524
66,1784,8.011289
66,1765,7.8257575
66,1775,7.8063936
66,1937,7.7648673
66,1803,7.720772
66,1769,7.66238
72,308,11.994389
72,352,11.269098
72,357,10.904867
72,2342,10.832783
72,360,9.9482975
72,65,9.687297
72,220,9.669163
72,325,9.619076
72,385,9.550082
72,292,9.529605
74,321,9.499325
74,523,9.421911
74,524,9.286945
74,2987,9.165453
74,641,8.817246
74,2793,8.532478
74,305,8.182037
74,319,8.111386
74,652,7.985704
74,2671,7.9070888
75,1983,9.372101
75,569,6.658917
75,2006,6.655113
75,2458,6.3357167
75,575,6.3011374
75,2532,5.9614596
75,2466,5.851569
75,488,5.7853255
75,292,5.746844
75,2255,5.537509
79,2468,9.699295
79,814,9.210492
79,2467,8.983274
79,146,8.684638
79,2463,8.39441
79,292,8.230006
79,58,8.186647
79,552,7.9836335
79,694,7.813971
79,208,7.7324233
85,2668,9.723808
85,2330,8.31165
85,363,8.30003
85,2272,8.292752
85,2535,8.164405
85,2289,8.015304
85,367,7.7000346
85,650,7.6942945
85,2266,7.5711555
85,320,7.524755
91,1637,9.170444
91,933,8.567187
91,364,8.210947
91,889,8.083892
91,385,8.075844
91,1361,8.071612
91,1166,7.929893
91,2499,7.901127
91,1223,7.8613534
91,1711,7.844831
97,2580,7.9884233
97,349,7.762073
97,1652,6.8450403
97,2474,6.795445
97,530,6.6035967
97,261,6.5962696
97,3040,6.486214
97,2480,6.460769
97,2217,6.4487453
97,1485,6.296798
99,292,10.198613
99,209,9.5098095
99,2215,9.131065
99,2333,9.043662
99,2468,8.789493
99,2465,8.598475
99,2289,8.527495
99,211,8.502037
99,2444,8.394389
99,481,8.076498
103,65,9.998253
103,267,8.726798
103,2336,8.683036
103,211,8.50302
103,407,8.178526
103,2533,8.147183
103,2442,7.9865403
103,292,7.900819
103,275,7.728356
103,337,7.483061
116,367,9.46772
116,63,9.145107
116,477,9.042349
116,467,8.895429
116,419,8.63602
116,320,8.570863
116,340,8.484761
116,343,8.319661
116,362,8.261984
116,112,8.212298
129,250,10.420178
129,2006,9.210678
129,208,8.989977
129,480,8.909314
129,317,8.882964
129,2342,8.876743
129,481,8.796705
129,362,8.720095
129,351,8.626846
129,363,8.626699
92,243,9.634858
92,264,9.498577
92,301,8.183631
92,599,7.765836
92,111,7.482906
92,317,7.457033
92,646,7.3002653
92,113,7.2107353
92,54,7.191665
92,394,7.066831
130,2972,8.038211
130,2815,7.9568434
130,1843,7.754056
130,2813,7.6147766
130,400,7.480425
130,2222,7.441502
130,2797,7.236539
130,2198,7.1910086
130,2152,7.1561813
130,2273,7.100444
142,505,7.9028583
142,9,7.7849207
142,213,7.61718
142,168,7.53949
142,92,6.9959345
142,42,6.817655
142,18,6.6326804
142,473,6.4431334
142,377,6.4114075
142,7,6.2780848
151,58,8.348648
151,2590,8.194238
151,564,7.6534295
151,567,7.520151
151,1643,7.226344
151,2529,7.052477
151,3034,6.9852667
151,1849,6.7276297
151,442,6.6942663
151,629,6.5809464
160,1820,7.109826
160,307,7.0791926
160,155,6.993952
160,505,6.9629774
160,1934,6.7721705
160,1916,6.7542086
160,42,6.64281
160,1908,6.536737
160,1836,6.388183
160,55,6.1169786
161,425,8.600711
161,2953,7.418396
161,355,7.278635
161,41,7.1770163
161,85,7.143564
161,728,7.097092
161,102,7.0897975
161,384,7.0089087
161,169,6.987795
161,2716,6.809517
170,599,8.520956
170,233,8.215955
170,597,8.189058
170,65,8.164066
170,250,8.122634
170,632,7.9673457
170,2883,7.7885556
170,318,7.7242227
170,439,7.5192103
170,209,7.4860187
56,2330,8.751945
56,469,7.5274463
56,1975,7.3836374
56,1672,7.207787
56,3057,7.171466
56,2046,6.876531
56,419,6.864151
56,2993,6.457104
56,2185,6.380632
56,1208,6.2556763
62,425,7.308169
62,2370,7.146725
62,2028,6.9012346
62,2654,6.709453
62,1828,6.669811
62,248,6.576944
62,2782,6.4783883
62,2183,6.4314017
62,2807,6.3511777
62,601,6.2550554
68,350,9.750214
68,2978,8.898844
68,2485,8.715886
68,2555,8.202564
68,2661,8.017657
68,250,7.8978567
68,2643,7.86592
68,2742,7.7569523
68,931,7.5040193
68,2956,7.4266376
176,497,9.309412
176,2135,9.049901
176,320,8.235504
176,233,8.138615
176,485,8.092962
176,391,7.9717073
176,480,7.95836
176,292,7.9396305
176,477,7.677047
176,561,7.533828
183,172,9.279985
183,75,9.045263
183,2054,8.3865185
183,1878,8.111924
183,156,7.7931695
183,55,7.7352357
183,322,7.503814
183,1937,7.4442425
183,235,7.1413155
183,1821,7.077268
191,1988,6.27569
191,1916,6.1842246
191,1845,6.179584
191,90,6.019864
191,1840,5.9209294
191,1839,5.733098
191,2026,5.6242843
191,2327,5.59919
191,1838,5.586983
191,193,5.5286326
202,2932,8.660169
202,1214,8.619752
202,2596,8.508117
202,2500,8.236728
202,2499,8.036365
202,888,8.013827
202,1936,7.898098
202,780,7.865677
202,2887,7.706436
202,738,7.7038574
210,113,8.948704
210,3013,8.762515
210,2242,8.492487
210,2416,8.117767
210,706,7.9552474
210,128,7.8936453
210,2382,7.7990003
210,265,7.6791368
210,40,7.169492
210,2289,7.0754485
120,17,7.228941
120,152,6.5514364
120,11,6.437725
120,54,6.1753936
120,424,5.908443
120,298,5.883605
120,155,5.8322635
120,221,5.6652336
120,9,5.661243
120,257,5.5624847
197,111,9.642847
197,97,9.522613
197,298,8.8303175
197,1873,8.815865
197,7,8.702737
197,14,7.596815
197,599,7.1611347
197,75,7.076198
197,1890,7.054155
197,143,6.8034143
188,157,8.899013
188,0,7.854725
188,160,7.7740946
188,7,7.729524
188,39,7.5013866
188,17,7.232168
188,213,6.8750024
188,328,6.705105
188,501,6.5207267
188,601,6.4169307
95,111,6.3441706
95,505,5.9660306
95,2026,5.8591537
95,450,5.8078346
95,354,5.6631446
95,2990,5.599678
95,42,5.486574
95,2243,5.4358487
95,132,5.4257293
95,721,5.375677
172,605,10.122656
172,650,9.888515
172,230,8.913931
172,544,8.393701
172,553,8.338218
172,625,8.3057785
172,563,8.253668
172,562,8.199471
172,626,7.845433
172,624,7.8301983
214,181,6.916393
214,75,6.862679
214,526,6.8442593
214,250,6.6588645
214,233,6.458699
214,479,6.3844957
214,419,6.336858
214,174,6.245097
214,317,6.238798
214,497,6.0467663
219,38,7.3677263
219,177,7.1849704
219,1847,6.4786687
219,2023,6.349207
219,1863,6.229625
219,1801,6.2290406
219,143,6.1799736
219,64,5.9764676
219,1825,5.956469
219,1947,5.8253303
201,644,9.037361
201,355,8.2366905
201,385,8.170076
201,208,7.9142957
201,443,7.8560467
201,294,7.7689075
201,165,7.748185
201,342,7.6282883
201,478,7.5919285
201,65,7.5727777
226,65,8.693201
226,1923,8.438783
226,59,8.332923
226,565,8.22453
226,467,8.21897
226,2436,7.7222133
226,219,7.628543
226,479,7.368626
226,2381,7.2965255
226,2481,7.287479
231,2169,8.54331
231,810,7.982976
231,775,7.9814425
231,956,7.957459
231,1849,7.6497283
231,2167,7.6486077
231,442,7.2891912
231,2016,7.236516
231,2095,7.1835384
231,1556,7.134008
235,208,9.217327
235,363,8.180231
235,973,7.960104
235,59,7.785561
235,58,7.708156
235,365,7.6815133
235,209,7.5710993
235,398,7.526514
235,466,7.389059
235,19,7.387155
240,2079,10.945755
240,2049,8.41553
240,2006,8.139506
240,1936,7.9355903
240,323,7.7463613
240,349,7.7200265
240,2103,7.4784904
240,2117,7.38254
240,565,7.341132
240,2070,7.0591755
242,2705,8.317063
242,2441,7.3355656
242,2403,7.3278785
242,191,7.1689305
242,442,7.1172304
242,1148,7.108606
242,1116,7.09002
242,320,7.0478086
242,467,6.965462
242,343,6.539785
247,467,10.285489
247,1949,9.870558
247,320,9.753056
247,2503,9.2544365
247,1936,8.965656
247,544,8.725207
247,2025,8.660281
247,2916,8.642947
247,479,8.525788
247,343,8.366356
230,670,9.561513
230,593,8.687147
230,404,8.381771
230,662,8.292915
230,21,8.106048
230,467,7.6954503
230,2509,7.5929794
230,658,7.2668796
230,2070,7.2548165
230,2072,7.0429406
253,2593,9.969396
253,2298,9.285935
253,2330,8.550472
253,364,8.440382
253,2738,8.316839
253,2673,8.097105
253,233,8.05352
