userID,itemID,rating
1,0,1
2,0,1
3,0,1
5,0,1
8,0,1
10,0,1
11,0,1
12,0,1
13,0,1
16,1,1
17,1,1
3,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
25,2,1
26,2,1
27,2,1
34,3,1
35,3,1
36,3,1
38,3,1
40,3,1
41,3,1
42,3,1
43,3,1
15,4,1
45,4,1
47,4,1
48,4,1
51,4,1
52,4,1
53,4,1
54,5,1
59,5,1
60,5,1
61,5,1
62,5,1
63,5,1
67,5,1
68,5,1
71,5,1
73,5,1
78,6,1
81,6,1
43,6,1
84,6,1
86,6,1
87,7,1
88,7,1
89,7,1
90,7,1
17,7,1
3,7,1
92,7,1
93,7,1
94,7,1
95,7,1
96,7,1
8,7,1
98,7,1
23,8,1
15,8,1
3,8,1
100,8,1
101,8,1
104,8,1
105,8,1
106,8,1
107,8,1
108,8,1
110,8,1
112,8,1
115,8,1
117,8,1
118,8,1
3,9,1
119,9,1
121,9,1
123,9,1
124,9,1
125,9,1
95,9,1
126,9,1
127,9,1
128,9,1
12,9,1
131,10,1
132,10,1
134,10,1
135,10,1
136,10,1
137,10,1
140,10,1
141,10,1
143,11,1
144,11,1
145,11,1
101,11,1
146,11,1
147,11,1
148,11,1
149,11,1
150,11,1
152,11,1
153,12,1
155,12,1
156,12,1
158,12,1
159,12,1
127,12,1
165,12,1
166,12,1
168,12,1
169,12,1
59,13,1
67,13,1
69,13,1
70,13,1
172,13,1
138,13,1
174,14,1
175,14,1
148,14,1
177,14,1
178,14,1
136,14,1
179,14,1
180,14,1
181,14,1
12,14,1
87,15,1
182,15,1
184,15,1
185,15,1
186,15,1
120,15,1
121,15,1
94,15,1
187,15,1
188,15,1
189,15,1
190,15,1
193,16,1
89,16,1
196,16,1
197,16,1
198,16,1
199,16,1
200,16,1
201,16,1
123,16,1
150,16,1
203,16,1
205,16,1
206,16,1
207,17,1
208,17,1
209,17,1
184,17,1
195,17,1
212,17,1
88,18,1
1,18,1
210,18,1
175,18,1
215,18,1
217,18,1
197,18,1
187,18,1
220,18,1
221,18,1
222,18,1
223,18,1
224,18,1
225,19,1
227,19,1
228,19,1
229,19,1
230,19,1
232,19,1
233,19,1
234,19,1
236,19,1
237,19,1
238,19,1
239,19,1
241,19,1
244,19,1
245,19,1
246,19,1
225,20,1
248,20,1
249,20,1
228,20,1
250,20,1
251,20,1
252,20,1
254,20,1
256,20,1
257,20,1
239,20,1
259,20,1
241,20,1
243,20,1
244,20,1
260,20,1
261,21,1
263,21,1
248,21,1
264,21,1
3,21,1
265,21,1
226,21,1
267,21,1
228,21,1
268,21,1
270,21,1
271,21,1
251,21,1
234,21,1
235,21,1
273,21,1
236,21,1
237,21,1
134,21,1
238,21,1
239,21,1
258,21,1
241,21,1
276,21,1
243,21,1
244,21,1
278,21,1
279,21,1
281,22,1
283,22,1
285,22,1
286,22,1
287,22,1
3,22,1
288,22,1
265,22,1
291,22,1
292,22,1
293,22,1
294,22,1
296,22,1
298,22,1
299,22,1
300,22,1
67,22,1
301,22,1
303,22,1
305,22,1
306,22,1
307,22,1
309,22,1
310,22,1
314,22,1
316,22,1
50,22,1
134,22,1
320,22,1
321,22,1
322,22,1
162,22,1
324,22,1
325,22,1
241,22,1
326,22,1
327,22,1
330,22,1
331,22,1
332,22,1
116,22,1
334,22,1
337,23,1
119,23,1
338,23,1
339,23,1
340,23,1
341,23,1
343,23,1
345,23,1
80,23,1
126,23,1
325,23,1
346,23,1
127,23,1
347,23,1
348,23,1
349,23,1
350,23,1
351,23,1
257,24,1
353,24,1
175,24,1
356,24,1
357,24,1
346,24,1
179,24,1
359,24,1
361,24,1
362,24,1
363,24,1
364,24,1
88,25,1
365,25,1
270,25,1
366,25,1
222,25,1
162,25,1
14,26,1
367,26,1
369,26,1
370,26,1
133,26,1
79,26,1
372,26,1
81,26,1
375,27,1
367,27,1
376,27,1
377,27,1
379,27,1
78,27,1
383,27,1
384,27,1
385,27,1
386,27,1
387,27,1
388,28,1
76,28,1
389,28,1
390,28,1
391,28,1
381,28,1
78,28,1
392,28,1
394,28,1
382,28,1
81,28,1
396,28,1
397,28,1
399,29,1
400,29,1
256,29,1
82,29,1
396,29,1
373,29,1
402,29,1
281,30,1
404,30,1
408,30,1
409,30,1
412,30,1
34,30,1
414,30,1
415,30,1
416,30,1
417,30,1
419,30,1
423,30,1
424,30,1
425,30,1
426,30,1
427,30,1
428,30,1
430,30,1
435,30,1
436,30,1
438,30,1
439,30,1
440,30,1
441,30,1
442,30,1
444,30,1
206,30,1
167,30,1
32,30,1
449,30,1
450,30,1
451,30,1
452,30,1
454,31,1
458,31,1
325,31,1
111,31,1
460,31,1
461,32,1
462,32,1
409,32,1
410,32,1
464,32,1
466,32,1
268,32,1
186,32,1
469,32,1
471,32,1
472,32,1
176,32,1
148,32,1
256,32,1
473,32,1
474,32,1
42,32,1
477,32,1
478,32,1
479,32,1
480,32,1
483,32,1
388,33,1
3,33,1
486,33,1
267,33,1
228,33,1
488,33,1
251,33,1
489,33,1
490,33,1
491,33,1
495,33,1
496,33,1
498,33,1
504,33,1
505,33,1
506,33,1
509,33,1
44,33,1
510,33,1
513,33,1
515,34,1
88,34,1
517,34,1
335,34,1
518,34,1
46,34,1
300,34,1
520,34,1
521,34,1
522,34,1
523,34,1
123,34,1
524,34,1
223,34,1
526,34,1
528,34,1
529,35,1
530,35,1
531,35,1
532,35,1
533,35,1
537,35,1
438,35,1
43,35,1
539,35,1
527,35,1
542,36,1
155,36,1
516,36,1
211,36,1
70,36,1
78,36,1
545,36,1
546,37,1
142,37,1
208,37,1
410,37,1
547,37,1
549,37,1
427,37,1
123,37,1
551,37,1
552,37,1
181,37,1
12,37,1
3,38,1
157,38,1
556,38,1
548,38,1
558,38,1
19,38,1
132,38,1
559,38,1
561,39,1
518,39,1
563,39,1
564,39,1
519,39,1
175,39,1
565,39,1
566,39,1
567,39,1
573,39,1
575,39,1
577,39,1
578,39,1
150,39,1
582,39,1
9,39,1
526,39,1
584,39,1
586,39,1
588,39,1
589,39,1
591,40,1
594,40,1
595,40,1
59,40,1
88,40,1
597,40,1
410,40,1
599,40,1
600,40,1
601,40,1
604,40,1
605,40,1
606,40,1
607,40,1
610,40,1
295,40,1
611,40,1
121,40,1
612,40,1
613,40,1
614,40,1
615,40,1
101,40,1
616,40,1
618,40,1
18,40,1
620,40,1
621,40,1
470,40,1
622,40,1
623,40,1
624,40,1
626,40,1
254,40,1
627,40,1
628,40,1
629,40,1
630,40,1
631,40,1
632,40,1
633,40,1
634,40,1
635,40,1
636,40,1
639,40,1
640,40,1
437,40,1
641,40,1
643,40,1
126,40,1
644,40,1
645,40,1
646,40,1
97,40,1
328,40,1
647,40,1
649,40,1
651,40,1
652,40,1
476,40,1
653,40,1
654,40,1
655,40,1
459,40,1
657,40,1
658,40,1
659,40,1
111,40,1
661,40,1
662,40,1
664,40,1
666,40,1
480,40,1
668,40,1
512,40,1
669,40,1
555,40,1
673,40,1
676,41,1
677,41,1
353,41,1
679,41,1
92,41,1
119,41,1
427,41,1
471,41,1
680,41,1
681,41,1
683,41,1
203,41,1
138,41,1
507,41,1
213,41,1
687,42,1
209,42,1
410,42,1
210,42,1
3,42,1
195,42,1
689,42,1
158,42,1
690,42,1
123,42,1
161,42,1
683,42,1
459,42,1
399,43,1
698,43,1
78,43,1
346,43,1
348,43,1
700,44,1
701,44,1
702,44,1
135,44,1
80,44,1
541,44,1
703,44,1
705,45,1
678,45,1
614,45,1
187,45,1
708,45,1
710,45,1
134,45,1
135,45,1
683,45,1
713,45,1
172,45,1
716,45,1
717,45,1
553,45,1
585,45,1
559,45,1
540,45,1
353,46,1
217,46,1
719,46,1
720,46,1
683,46,1
223,46,1
347,46,1
722,47,1
15,47,1
723,47,1
724,47,1
339,47,1
725,47,1
726,47,1
507,47,1
